config None
max_frames 200
eval_frames 400
batch_size 200
max_seg_per_spk 100
nDataLoaderThread 5
augment False
test_interval 10
max_epoch 500
trainfunc angleproto
optimizer adam
scheduler steplr
lr 0.001
lr_decay 0.95
weight_decay 0
hard_prob 0.5
hard_rank 10
margin 1
scale 15
nPerSpeaker 2
nClasses 4953
initial_model 
save_path exps/scratch_vgg_model
train_list lists/train_list.txt
test_list lists/veri_test.txt
train_path data/voxceleb2
test_path data/voxceleb1
musan_path data/musan_split
rir_path data/RIRS_NOISES/simulated_rirs
n_mels 64
log_input False
model VGGVox
encoder_type TAP
nOut 512
eval False
Model has 3769282 parametersIT 1, LR 0.001000, TEER/TAcc 0.64, TLOSS 5.298443
IT 295, LR 0.000226, TEER/TAcc 66.72, TLOSS 1.388121
IT 296, LR 0.000226, TEER/TAcc 65.97, TLOSS 1.388744
IT 297, LR 0.000226, TEER/TAcc 68.00, TLOSS 1.353792
IT 298, LR 0.000226, TEER/TAcc 64.86, TLOSS 1.400900
IT 299, LR 0.000226, TEER/TAcc 66.17, TLOSS 1.365383
IT 300, LR 0.000226, TEER/TAcc 65.86, TLOSS 1.380343, VEER 16.6490, MINEER 16.6490
IT 301, LR 0.000215, TEER/TAcc 66.67, TLOSS 1.358822
IT 302, LR 0.000215, TEER/TAcc 66.53, TLOSS 1.360323
IT 303, LR 0.000215, TEER/TAcc 67.44, TLOSS 1.360186
IT 304, LR 0.000215, TEER/TAcc 66.78, TLOSS 1.352126
IT 305, LR 0.000215, TEER/TAcc 67.17, TLOSS 1.345106
IT 306, LR 0.000215, TEER/TAcc 69.11, TLOSS 1.310704
IT 307, LR 0.000215, TEER/TAcc 66.83, TLOSS 1.328149
IT 308, LR 0.000215, TEER/TAcc 67.47, TLOSS 1.330269
IT 309, LR 0.000215, TEER/TAcc 69.14, TLOSS 1.282585
IT 310, LR 0.000215, TEER/TAcc 67.81, TLOSS 1.318263, VEER 16.5589, MINEER 16.5589
IT 311, LR 0.000204, TEER/TAcc 68.00, TLOSS 1.303212
IT 312, LR 0.000204, TEER/TAcc 67.17, TLOSS 1.337050
IT 313, LR 0.000204, TEER/TAcc 69.64, TLOSS 1.293387
IT 314, LR 0.000204, TEER/TAcc 67.75, TLOSS 1.330970
IT 315, LR 0.000204, TEER/TAcc 68.36, TLOSS 1.310670
IT 316, LR 0.000204, TEER/TAcc 68.94, TLOSS 1.307465
IT 317, LR 0.000204, TEER/TAcc 69.56, TLOSS 1.281682
IT 318, LR 0.000204, TEER/TAcc 68.72, TLOSS 1.283598
IT 319, LR 0.000204, TEER/TAcc 68.72, TLOSS 1.296200
IT 320, LR 0.000204, TEER/TAcc 68.78, TLOSS 1.279025, VEER 16.6649, MINEER 16.5589
IT 321, LR 0.000194, TEER/TAcc 70.47, TLOSS 1.248277
IT 322, LR 0.000194, TEER/TAcc 69.42, TLOSS 1.260907
IT 323, LR 0.000194, TEER/TAcc 69.17, TLOSS 1.268910
IT 324, LR 0.000194, TEER/TAcc 69.39, TLOSS 1.249131
IT 325, LR 0.000194, TEER/TAcc 69.72, TLOSS 1.267277
IT 326, LR 0.000194, TEER/TAcc 70.50, TLOSS 1.240964
IT 327, LR 0.000194, TEER/TAcc 69.14, TLOSS 1.271852
IT 328, LR 0.000194, TEER/TAcc 71.11, TLOSS 1.232563
IT 329, LR 0.000194, TEER/TAcc 69.78, TLOSS 1.228476
IT 330, LR 0.000194, TEER/TAcc 68.89, TLOSS 1.276151, VEER 16.7497, MINEER 16.5589
IT 331, LR 0.000184, TEER/TAcc 70.86, TLOSS 1.194919
IT 332, LR 0.000184, TEER/TAcc 71.11, TLOSS 1.233445
IT 333, LR 0.000184, TEER/TAcc 71.47, TLOSS 1.210906
